local_path,size_bytes,type,description,reason,sha256
outputs/v1r/sequential_success_demos_2i/layout_1_demo_025.npz,164978,sequential_demo_state_bundle,"Layout 1 demo_25: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,bc5daec09535de35403cdb380135e63293c3e055f228c54ce43d786b9249558b
outputs/v1r/sequential_success_demos_2i/layout_1_demo_025.xml,87250,sequential_demo_runtime_xml,Layout 1 demo_25: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a
outputs/v1r/sequential_success_demos_2i/layout_2_demo_027.npz,150045,sequential_demo_state_bundle,"Layout 2 demo_27: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,ce6b1610c7a67f7672900f6cce0ff737c41dabb9ba8f9a5976f0730b06ba9e2a
outputs/v1r/sequential_success_demos_2i/layout_2_demo_027.xml,87286,sequential_demo_runtime_xml,Layout 2 demo_27: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb
outputs/v1r/sequential_success_demos_2i/layout_2_demo_032.npz,155111,sequential_demo_state_bundle,"Layout 2 demo_32: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,cdb0959aba519923967fb522098ea5b2164405e735ba98801aaecbeb08a66b27
outputs/v1r/sequential_success_demos_2i/layout_2_demo_032.xml,87286,sequential_demo_runtime_xml,Layout 2 demo_32: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb
outputs/v1r/sequential_success_demos_2i/layout_2_demo_033.npz,160230,sequential_demo_state_bundle,"Layout 2 demo_33: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,e3d4aa98ef33efd4122c6641ee218a9551ecc21084f360708bbef0514a93a3c2
outputs/v1r/sequential_success_demos_2i/layout_2_demo_033.xml,87286,sequential_demo_runtime_xml,Layout 2 demo_33: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb
outputs/v1r/sequential_success_demos_2i/layout_2_demo_059.npz,156103,sequential_demo_state_bundle,"Layout 2 demo_59: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,a9e2811594e585e475896beb6ad9685051df0c80dde77a2d454e323fa2d86929
outputs/v1r/sequential_success_demos_2i/layout_2_demo_059.xml,87286,sequential_demo_runtime_xml,Layout 2 demo_59: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb
outputs/v1r/sequential_success_demos_2i/layout_2_demo_073.npz,159240,sequential_demo_state_bundle,"Layout 2 demo_73: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,08c14edf2cefbad7aceb0e9513536d35ba496f6be379f3b230a63547b4adedd2
outputs/v1r/sequential_success_demos_2i/layout_2_demo_073.xml,87286,sequential_demo_runtime_xml,Layout 2 demo_73: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb
outputs/v1r/sequential_success_demos_2i/layout_3_demo_000.npz,153710,sequential_demo_state_bundle,"Layout 3 demo_0: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,e0286c1c15a53f45f5e979ce0c2884714cf87f53ee1e0c7fe6955ac7355e8569
outputs/v1r/sequential_success_demos_2i/layout_3_demo_000.xml,88079,sequential_demo_runtime_xml,Layout 3 demo_0: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265
outputs/v1r/sequential_success_demos_2i/layout_3_demo_003.npz,170792,sequential_demo_state_bundle,"Layout 3 demo_3: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,95dc94cf74266bd199f85179be9a770a633fda48aa135bc61d3858481c8cd9cd
outputs/v1r/sequential_success_demos_2i/layout_3_demo_003.xml,88079,sequential_demo_runtime_xml,Layout 3 demo_3: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265
outputs/v1r/sequential_success_demos_2i/layout_3_demo_005.npz,166272,sequential_demo_state_bundle,"Layout 3 demo_5: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,88301dd6aecd725ef6b24fdf4f400f5b2337d82c8069a3f194cfce5f011a22d8
outputs/v1r/sequential_success_demos_2i/layout_3_demo_005.xml,88079,sequential_demo_runtime_xml,Layout 3 demo_5: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265
outputs/v1r/sequential_success_demos_2i/layout_3_demo_006.npz,165600,sequential_demo_state_bundle,"Layout 3 demo_6: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,dff157154d07a04fc11dd4515c5c52b39409da40197e14b48e18988c39570470
outputs/v1r/sequential_success_demos_2i/layout_3_demo_006.xml,88079,sequential_demo_runtime_xml,Layout 3 demo_6: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265
outputs/v1r/sequential_success_demos_2i/layout_3_demo_010.npz,146429,sequential_demo_state_bundle,"Layout 3 demo_10: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,99acc2e99cb50d4c5cdd3cdbecf28f9d691f823eed05578e06ef41d1cb163f42
outputs/v1r/sequential_success_demos_2i/layout_3_demo_010.xml,88079,sequential_demo_runtime_xml,Layout 3 demo_10: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,af0edc8069c72015908def32b95befcda162f3a47bed439f5a91e246c3a1f265
outputs/v1r/sequential_success_demos_2i/layout_4_demo_000.npz,148246,sequential_demo_state_bundle,"Layout 4 demo_0: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,410c36e5fea5c1fd0435dc402f3f28b1757625268721f1fb5cb85972fec69613
outputs/v1r/sequential_success_demos_2i/layout_4_demo_000.xml,87131,sequential_demo_runtime_xml,Layout 4 demo_0: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049
outputs/v1r/sequential_success_demos_2i/layout_4_demo_001.npz,159634,sequential_demo_state_bundle,"Layout 4 demo_1: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,2d62257b917764338a4f2ae6d25fae6dd6a2abe6c3fb06f27d093b1f8ad5957e
outputs/v1r/sequential_success_demos_2i/layout_4_demo_001.xml,87131,sequential_demo_runtime_xml,Layout 4 demo_1: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049
outputs/v1r/sequential_success_demos_2i/layout_4_demo_002.npz,157004,sequential_demo_state_bundle,"Layout 4 demo_2: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,b39ab26e9506b6e5e9ec42e24c0314f191785379ead00eb59277f6db31db063b
outputs/v1r/sequential_success_demos_2i/layout_4_demo_002.xml,87131,sequential_demo_runtime_xml,Layout 4 demo_2: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049
outputs/v1r/sequential_success_demos_2i/layout_4_demo_005.npz,175173,sequential_demo_state_bundle,"Layout 4 demo_5: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,b9814f21eef10d53002d95e38dcadbb49a5ef917ad8e39402822bb0db8303a5f
outputs/v1r/sequential_success_demos_2i/layout_4_demo_005.xml,87131,sequential_demo_runtime_xml,Layout 4 demo_5: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049
outputs/v1r/sequential_success_demos_2i/layout_4_demo_006.npz,138007,sequential_demo_state_bundle,"Layout 4 demo_6: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,79b38346792d07f739f2300b5455e64b6b4c079235cb98d88c937b0bb8294d00
outputs/v1r/sequential_success_demos_2i/layout_4_demo_006.xml,87131,sequential_demo_runtime_xml,Layout 4 demo_6: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,0497706de31e4ceacdca26939cf6986ba3fbcc9dc3759341a24ad067edd7d049
